,"Back-dated Inventory Valuatuon Report
Valuation as of 01/09/2022 ",LOCATION,,
,,,,
ITEM CODE,DESCRIPTION  - 01-09-2022,QTY,QTY,PRICE
V15B-13NSC,13A SWITCHED SOCKET WITH NEON SP BLACK,6,156,1860.00
V15B-13SSC,13A SWITCHED SOCKET -SP-BLACK,"1,040",171,1680.00
V15B-1G1W,1 GANG 1 WAY  BLACK,-9,"1,802",820.00
V15B-13USC,13A SWITCHED SOCKET WITH NEON +USB BLACK,77,684,2890.00
V15B-1G2W,1 GANG  2 WAY  BLACK,11,440,1120.00
V15B-20NS,20A SWITCH WITH NEON BLACK,1,723,2890.00
V15B-2G1W,2 GANG 1 WAY BLACK,-6,"1,737",1180.00
V15B-2G2W,2 GANG  2 WAY  BLACK,17,626,1320.00
V15B-3G1W,3 GANG 1 WAY BLACK,-10,"1,573",1470.00
V15B-3G2W,3 GANG 2 WAY BLACK,4,731,1650.00
V15B-4G1W,4 GANG 1 WAY BLACK,-14,"1,357",1790.00
V15B-4G2W,4 GANG 2 WAY BLACK,11,551,1990.00
V15B-BP,BLANK PLATE BLACK,469,"1,464",750.00
V15B-CSC,COMPUTER SOCKET BLACK,91,602,2330.00
V15B-DBS,DOORBELL SWITCH BLACK,400,"1,487",1180.00
V15B-DNDS,"DOORBELL SWITCH ""DONT DISTURB"" - BLACK",149,147,3350.00
V15B-FCS,FAN SPEED 500W BLACK,-3,"1,080",2980.00
V15B-HBS,HUMEN BODY SENSOR SWITCH BLACK,217,204,3630.00
V15B-KCS,40A KEY CARD - BLACK,129,89,5130.00
V15B-LDS,LIGHT DIMMER 500W BLACK,225,903,2520.00
V15B-MFSC,13+ PIN MF SWITCHED SOCKET WITH NEON BLACK,"3,728","3,483",2330.00
V15B-SHV,SHAVER 3X3 BLACK,73,71,5970.00
V15B-SLSC,SATELLITE SOCKET BLACK,328,870,2240.00
V15B-SWCL,3W STAIRWAY BRUSHED COOL - BLACK,48,265,1930.00
V15B-SWSW,3W STAIRWAY WITH SENSER WARM - BLACK,124,317,2980.00
V15B-SWWL,3W STAIRWAY BRUSHED WARM - BLACK,2,4,1930.00
V15B-TDS,TOUCH DELAY SWITCH BLACK,78,78,2980.00
V15B-TPCPM,TELEPHONE + COMPUTER SOCKET - BLACK,135,524,2520.00
V15B-TPSC,TELEPHONE SOCKET BLACK,234,684,2140.00
V15B-TVSC,TV SOCKET BLACK,167,332,2140.00
V15B-VCS,VOICE COTROL SWITCH BLACK,74,74,3070.00
H60B-13NSC,13A SWITCHED SOCKET WITH NEON SP BLACK - H60,33,33,1.00
V15B-1G3W,1 GAN 3 WAY BLACK - INTERMEDATE,267,755,3720.00
,,,,
,,,,
ITEM CODE,DESCRIPTION  - 1-9-2022,QTY,system -qty,PRICE
HD10S-CW,METAL DISTRIBUTION BOX CW-8-10 SURFACE - DARK BROWN,194,182,5310.00
HD14S-CW,METAL DISTRIBUTION BOX CW-11-14 SURFACE - DARK BROWN,292,276,6010.00
HD18S-CW,METAL DISTRIBUTION BOX CW-15-18 SURFACE - DARK BROWN,283,266,7830.00
HD22S-CW,METAL DISTRIBUTION BOX CW-19-22 SURFACE - DARK BROWN,293,276,8950.00
HD10S-BW,METAL DISTRIBUTION BOX BW-8-10 SURFACE - WHITE,95,90,5310.00
HD14S-BW,METAL DISTRIBUTION BOX BW-11-14 SURFACE - WHITE,140,136,6010.00
HD18S-BW,METAL DISTRIBUTION BOX BW-15-18 SURFACE - WHITE,138,134,7830.00
HD22S-BW,METAL DISTRIBUTION BOX BW-19-22 SURFACE - WHITE,144,139,8950.00
HD10F-CW,METAL DISTRIBUTION BOX CW-8-10 FLUSH - DARK BROWN,186,175,5170.00
HD14F-CW,METAL DISTRIBUTION BOX CW-11-14 - FLUSH - DARK BROWN,261,213,5730.00
HD18F-CW,METAL DISTRIBUTION BOX CW-15-18 FLUSH - DARK BROWN,274,228,7550.00
HD22F-CW,METAL DISTRIBUTION BOX CW-19-22 FLUSH - DARK BROWN,283,250,8670.00
HD10F-BW,METAL DISTRIBUTION BOX BW-8-10 FLUSH - WHITE,97,92,5170.00
HD14F-BW,METAL DISTRIBUTION BOX BW-11-14 - FLUSH - WHITE,138,122,5730.00
HD18F-BW,METAL DISTRIBUTION BOX BW-15-18 - FLUSH - WHITE,137,122,7550.00
HD22F-BW,METAL DISTRIBUTION BOX BW-19-22  - FLUSH - WHITE,142,122,8670.00
,,,,
,,,,
,,,,
ITEM CODE,DESCRIPTION  - 1-9-2022,QTY,system -qty,PRICE
V15G-1G1W,1 GANG 1 WAY GOLD,481,"1,443",760.00
V15G-1G2W,1 GANG 2 WAY GOLD,365,893,1060.00
V15G-2G1W,2 GANG 1 WAY GOLD,430,"1,448",1120.00
V15G-2G2W,2 GANG 2 WAY GOLD,503,365,1260.00
V15G-3G1W,3 GANG 1 WAY GOLD,593,"1,242",1410.00
V15G-4G1W,4 GANG 1 WAY GOLD,914,"1,238",1720.00
V15G-DBS,DOORBELL SWITCH GOLD,"1,038",911,1120.00
V15G-20NS,20A SWITCH WITH NEON GOLD,274,460,2790.00
V15G-13USC,13A SWITCHED SOCKET WITH NEON +USB GOLD,95,6,2790.00
V15G-BP,BLANK PLATE GOLD,775,776,690.00
V15G-SLSC,SATELLITE SOCKET GOLD,735,766,2140.00
V15G-CSC,COMPUTER SOCKET GOLD,415,488,2240.00
V15G-FCS,FAN SPEED 500W GOLD,404,706,2890.00
V15G-LDS,LIGHT DIMMER 500W GOLD,536,761,2420.00
V15G-SHV,SHAVER 3X3 GOLD,19,211,5880.00
V15G-HBS,HUMEN BODY SENSOR SWITCH GOLD,197,287,3540.00
V15G-TDS,TOUCH DELAY SWITCH GOLD,110,110,2890.00
V15G-VCS,VOICE COTROL SWITCH GOLD,26,31,2980.00
V15G-MFSC,13+ PIN MF SWITCHED SOCKET WITH NEON GOLD,"6,233","4,721",2240.00
V15G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD,"3,058","4,736",1800.00
V15G-4G2W,4 GANG 2 WAY GOLD,220,184,1920.00
V15G-3G2W,3 GANG 2 WAY GOLD,234,314,1590.00
V15G-TPSC,TELEPHONE SOCKET GOLD,255,502,2050.00
V15G-TVSC,TV SOCKET GOLD,242,464,2050.00
V15G-KCS,40A KEY CARD - GOLD,71,58,4960.00
V15G-DNDS,"DOORBELL SWITCH ""DONT DISTURB"" - GOLD",86,86,3170.00
V15G-SWWL,3W STAIRWAY BRUSHED WARM - GOLD,713,398,1850.00
V15G-SWSW,3W STAIRWAY WITH SENSER WARM - GOLD,7,156,2840.00
V15G-SWCL,3W STAIRWAY BRUSHED COOL - GOLD,292,336,1850.00
V15G-TPCPM,TELEPHONE + COMPUTER SOCKET - GOLD,92,291,2420.00
V15G-1G3W,1 GANG 3 WAY GOLD - INTERMEDIATE,347,658,3630.00
V15G-13SSC,13A SWITCHED SOCKET -SP-GOLD,"2,446","1,784",1620.00
H60G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD - H60,33,33,1.00
,,,,
,,,,
,,,,
ITEM CODE,DESCRIPTION  - 1-9-2022,QTY,system -qty,PRICE
V15W-1G1W,1 GANG 1 WAY  PEARL,"1,200","1,452",690.00
V15W-1G2W,1 GANG 2 WAY  PEARL,224,768,980.00
V15W-2G1W,2 GANG 1 WAY  PEARL,"1,270","1,574",1060.00
V15W-2G2W,2 GANG 2 WAY PEARL,544,556,1200.00
V15W-3G1W,3 GANG 1 WAY PEARL,"1,438","1,540",1340.00
V15W-4G1W,4 GANG 1 WAY PEARL,"1,653","1,850",1650.00
V15W-DBS,DOORBELL SWITCH PEARL,871,"1,039",1060.00
V15W-20NS,20A SWITCH WITH NEON PEARL,216,438,2700.00
V15W-13USC,13A SWITCHED SOCKET WITH NEON +USB PEARL,163,94,2700.00
V15W-BP,BLANK PLATE PEARL,"1,073",861,610.00
V15W-SLSC,SATELLITE SOCKET PEARL,444,629,2050.00
V15W-CSC,COMPUTER SOCKET PEARL,270,440,2140.00
V15W-FCS,FAN SPEED 500W PEARL,705,"1,262",2790.00
V15W-LDS,LIGHT DIMMER 500W PEARL,295,746,2330.00
V15W-SHV,SHAVER 3X3 PEARL,179,179,5800.00
V15W-HBS,HUMEN BODY SENSOR SWITCH PEARL,132,205,3450.00
V15W-TDS,TOUCH DELAY SWITCH PEARL,101,102,2790.00
V15W-VCS,VOICE COTROL SWITCH PEARL,85,97,2890.00
V15W-MFSC,13+ PIN MF SWITCHED SOCKET WITH NEON PEARL,"8,060","6,217",2140.00
V15W-13NSC,13A SWITCHED SOCKET WITH NEON SP PEARL,"3,140","5,066",1730.00
V15W-4G2W,4 GANG 2 WAY PEARL,258,776,1860.00
V15W-3G2W,3 GANG 2 WAY PEARL,369,677,1520.00
V15W-TPSC,TELEPHONE SOCKET PEARL,471,593,1960.00
V15W-TVSC,TV SOCKET PEARL,366,546,1960.00
V15W-KCS,40A KEY CARD - PEARL,3,1,4790.00
V15W-DNDS,"DOORBELL SWITCH ""DONT DISTURB"" - PEARL",140,141,2980.00
V15W-SWWL,3W STAIRWAY BRUSHED WARM - PEARL,757,239,1770.00
V15W-SWCL,3W STAIRWAY BRUSHED COOL - PEARL,320,311,1770.00
V15W-SWSW,3W STAIRWAY WITH SENSER WARM - PEARL,142,342,2700.00
V15W-TPCOM,TELEPHONE + COMPUTER SOCKET - PEARL,72,270,2330.00
V15W-13SSC,13A SWITCHED SOCKET -SP-PERAL,"1,518",22,1540.00
H60W-13NSC,13A SWITCHED SOCKET WITH NEON SP WHITE - H60,34,4,1.00
V15W-1G3W,1 GAN 3 WAY WHITE - INTERMIDIATE,340,645,3540.00
,,,,
,,,,
ITEM CODE,DESCRIPTION  - 1-9-2022,QTY,system -qty,PRICE
4W-SANK,SANK BOX  - 4-WAY,"24,141",991,105.00
2W-SANK,SANK BOX  - 2-WAY,"2,785","1,715",120.00
1020,FAN CONTORAL MACHINE 5 - STAPS,,"1,327",1.00
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,