LAST SHIPMENT GRN AS AT 3-11-2022,,,,,
#,CODE,DESCRIPTION,,TOTQTY,Unit price
1).,V15B-1G1W,1 GANG 1 WAY  BLACK,,"2,500",384.31
2).,V15B-1G2W,1 GANG  2 WAY  BLACK,,"1,000",433.62
3).,V15B-1G3W,1 GAN 3 WAY BLACK - INTERMEDATE,,100,627.95
4).,V15B-2G1W,2 GANG 1 WAY BLACK,,"2,500",514.35
5).,V15B-2G2W,2 GANG  2 WAY  BLACK,,"1,000",627.95
6).,V15B-3G1W,3 GANG 1 WAY BLACK,,"2,500",660.82
7).,V15B-3G2W,3 GANG 2 WAY BLACK,,"1,000",822.76
8).,V15B-4G1W,4 GANG 1 WAY BLACK,,"2,500",790.86
9).,V15B-4G2W,4 GANG 2 WAY BLACK,,"1,000","1,017.58"
10).,V15B-DBS,DOORBELL SWITCH BLACK,,400,418.15
11).,V15B-20NS,20A SWITCH WITH NEON BLACK,,800,774.42
12).,V15B-13USC,13A SWITCHED SOCKET WITH NEON +US,,700,"1,371.43"
13).,V15B-TVSC,TV SOCKET BLACK,,400,391.08
14).,V15B-TPSC,TELEPHONE SOCKET BLACK,,200,391.08
15).,V15B-TPCPM,TELEPHONE + COMPUTER SOCKET - BLA,,200,563.66
16).,V15B-FCS,FAN SPEED 500W BLACK,,"1,200","1,047.55"
17).,V15B-LDS,LIGHT DIMMER 500W BLACK,,160,898.66
18).,V15B-HBS,HUMEN BODY SENSOR SWITCH BLACK,,80,"1,569.15"
19).,V15B-KCS,40A KEY CARD - BLACK,,80,"1,731.57"
20).,V15B-SWCL,3W STAIRWAY BRUSHED COOL - BLACK,,300,570.42
21).,V15B-SWWL,3W STAIRWAY BRUSHED WARM - BLACK,,500,570.42
22).,V15B-SWSW,3W STAIRWAY WITH SENSER WARM - BLA,,200,880.29
23).,V15W-1G1W,1 GANG 1 WAY  PEARL,,"1,000",291.98
24).,V15W-1G2W,1 GANG 2 WAY  PEARL,,400,338.87
25).,V15W-2G1W,2 GANG 1 WAY  PEARL,,"1,000",400.75
26).,V15W-2G2W,2 GANG 2 WAY PEARL,,400,509.03
27).,V15W-3G1W,3 GANG 1 WAY PEARL,,"1,000",519.67
28).,V15W-3G2W,3 GANG 2 WAY PEARL,,400,679.67
29).,V15W-4G1W,4 GANG 1 WAY PEARL,,"1,000",627.95
30).,V15W-4G2W,4 GANG 2 WAY PEARL,,400,850.32
31).,V15W-DBS,DOORBELL SWITCH PEARL,,200,322.92
32).,V15W-20NS,20A SWITCH WITH NEON PEARL,,300,669.52
33).,V15W-13USC,13A SWITCHED SOCKET WITH NEON +US,,400,"1,248.65"
34).,V15W-BP,BLANK PLATE PEARL,,200,157.59
35).,V15W-TVSC,TV SOCKET PEARL,,100,297.30
36).,V15W-TPSC,TELEPHONE SOCKET PEARL,,100,297.30
37).,V15W-TPCO,TELEPHONE + COMPUTER SOCKET - PEA,,100,467.94
38).,V15W-FCS,FAN SPEED 500W PEARL,,320,938.30
39).,V15W-LDS,LIGHT DIMMER 500W PEARL,,80,788.44
40).,V15W-KCS,40A KEY CARD - PEARL,,160,"1,594.77"
41).,V15W-SWCL,3W STAIRWAY BRUSHED COOL - PEARL,,100,528.37
42).,V15W-SWWL,3W STAIRWAY BRUSHED WARM - PEARL,,300,528.37
43).,V15W-SWSW,3W STAIRWAY WITH SENSER WARM - PEA,,100,838.72
44).,V15G-1G1W,1 GANG 1 WAY GOLD,,"1,100",371.26
45).,V15G-1G2W,1 GANG 2 WAY GOLD,,500,419.12
46).,V15G-2G1W,2 GANG 1 WAY GOLD,,"1,100",499.36
47).,V15G-2G2W,2 GANG 2 WAY GOLD,,500,611.51
48).,V15G-3G1W,3 GANG 1 WAY GOLD,,"1,200",643.42
49).,V15G-3G2W,3 GANG 2 WAY GOLD,,600,809.23
50).,V15G-4G1W,4 GANG 1 WAY GOLD,,"1,300",777.32
51).,V15G-4G2W,4 GANG 2 WAY GOLD,,700,"1,001.63"
52).,V15G-DBS,DOORBELL SWITCH GOLD,,200,403.16
53).,V15G-20NS,20A SWITCH WITH NEON GOLD,,400,761.37
54).,V15G-13USC,13A SWITCHED SOCKET WITH NEON +US,,300,"1,354.03"
55).,V15G-BP,BLANK PLATE GOLD,,400,232.52
56).,V15G-TVSC,TV SOCKET GOLD,,200,376.58
57).,V15G-TPSC,TELEPHONE SOCKET GOLD,,100,376.58
58).,V15G-TPCPM,TELEPHONE + COMPUTER SOCKET - GOL,,100,547.70
59).,V15G-FCS,FAN SPEED 500W GOLD,,480,"1,038.85"
60).,V15G-LDS,LIGHT DIMMER 500W GOLD,,80,884.16
61).,V15G-KCS,40A KEY CARD - GOLD,,80,"1,717.07"
62).,V15G-DNDS,"DOORBELL SWITCH ""DONT DISTURB"" - G",,80,"1,028.21"
63).,V15G-SWCL,3W STAIRWAY BRUSHED COOL - GOLD,,200,570.42
64).,V15G-SWWL,3W STAIRWAY BRUSHED WARM - GOLD,,300,570.42
65).,V15G-SWSW,3W STAIRWAY WITH SENSER WARM - GO,,200,880.29