DATE,NUMBER,CUSTOMER,CODE,DESCRIPTION,QTY,CUS NO
2022-09-06,CRM#1419,WASANA ELECTRICALS-CHA,V15B-SWSW,3W STAIRWAY WITH SENSER WARM - BLACK,8,166
2022-09-13,CRM#1420,MULITY ELECTRICALS - KADURUWELA - CHA,2W-SANK,SUNK BOX  - 2-WAY,147,139
2022-09-13,CRM#1420,MULITY ELECTRICALS - KADURUWELA - CHA,4W-SANK,SUNK BOX  - 4-WAY,187,139
2022-09-15,CRM#1421,MEGA ELECTRICALS-NEGAMBO-KUS,V15G-2G1W,2 GANG 1 WAY GOLD,1,207
2022-09-15,CRM#1421,MEGA ELECTRICALS-NEGAMBO-KUS,V15G-1G1W,1 GANG 1 WAY GOLD,1,207
2022-09-15,CRM#1421,MEGA ELECTRICALS-NEGAMBO-KUS,V15G-20NS,20A SWITCH WITH NEON GOLD,1,207
2022-09-15,CRM#1421,MEGA ELECTRICALS-NEGAMBO-KUS,V15W-2G1W,2 GANG 1 WAY  PEARL,5,207
2022-09-15,CRM#1421,MEGA ELECTRICALS-NEGAMBO-KUS,V15W-3G1W,3 GANG 1 WAY PEARL,5,207
2022-09-15,CRM#1422,RANGA ELECTRICALS-SHA,V15W-13NSC,13A SWITCHED SOCKET WITH NEON SP PEARL,1,43
2022-09-15,CRM#1422,RANGA ELECTRICALS-SHA,V15W-1G1W,1 GANG 1 WAY  PEARL,1,43
2022-09-15,CRM#1422,RANGA ELECTRICALS-SHA,V15B-13USC,13A SWITCHED SOCKET WITH NEON +USB BLACK,1,43
2022-09-15,CRM#1423,A.K SHADES ELECTRICALS-KUS,V15B-4G1W,4 GANG 1 WAY BLACK,2,171
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-20NS,20A SWITCH WITH NEON PEARL,1,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-TPSC,TELEPHONE SOCKET PEARL,3,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-FCS,FAN SPEED 500W PEARL,5,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-LDS,LIGHT DIMMER 500W PEARL,9,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-3G1W,3 GANG 1 WAY PEARL,3,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-2G1W,2 GANG 1 WAY  PEARL,5,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-DBS,DOORBELL SWITCH PEARL,1,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-4G1W,4 GANG 1 WAY PEARL,4,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-13NSC,13A SWITCHED SOCKET WITH NEON SP PEARL,2,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-MFSC,13+ PIN MF SWITCHED SOCKET WITH NEON PEARL,1,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-KCS,40A KEY CARD - PEARL,2,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15G-2G1W,2 GANG 1 WAY GOLD,6,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15G-3G1W,3 GANG 1 WAY GOLD,5,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15G-1G1W,1 GANG 1 WAY GOLD,5,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD,2,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15G-4G1W,4 GANG 1 WAY GOLD,3,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15G-FCS,FAN SPEED 500W GOLD,2,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15G-HBS,HUMEN BODY SENSOR SWITCH GOLD,3,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15G-TPSC,TELEPHONE SOCKET GOLD,1,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15G-SWWL,3W STAIRWAY BRUSHED WARM - GOLD,1,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15G-MFSC,13+ PIN MF SWITCHED SOCKET WITH NEON GOLD,2,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15B-13NSC,13A SWITCHED SOCKET WITH NEON SP BLACK,2,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15G-DBS,DOORBELL SWITCH GOLD,1,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15G-1G2W,1 GANG 2 WAY GOLD,2,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15G-3G2W,3 GANG 2 WAY GOLD,1,226
2022-09-16,CRM#1424,S.S MOBILE & ELECTRICALS - KUS,V15W-13SSC,13A SWITCHED SOCKET -SP-PERAL,1,226
2022-09-20,CRM#1425,S.R.T.M MARKETING,HD18F-CW,METAL DISTRIBUTION BOX CW-15-18 FLUSH - DARK BROWN,10,328
2022-09-20,CRM#1426,HARRY TRADING - NAS,V15G-4G1W,4 GANG 1 WAY GOLD,1,254
2022-09-20,CRM#1426,HARRY TRADING - NAS,V15G-4G2W,4 GANG 2 WAY GOLD,1,254
2022-09-20,CRM#1426,HARRY TRADING - NAS,V15G-MFSC,13+ PIN MF SWITCHED SOCKET WITH NEON GOLD,1,254
2022-09-20,CRM#1426,HARRY TRADING - NAS,V15G-FCS,FAN SPEED 500W GOLD,1,254
2022-09-20,CRM#1426,HARRY TRADING - NAS,V15B-FCS,FAN SPEED 500W BLACK,1,254
2022-09-26,CRM#1427,DEEPTHI ELECTRICALS-BUD,V15W-SWSW,3W STAIRWAY WITH SENSER WARM - PEARL,12,69
2022-09-26,CRM#1427,DEEPTHI ELECTRICALS-BUD,V15G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD,1,69
2022-09-26,CRM#1428,NIPPON MAHAGEDARA-KUS,V15B-13NSC,13A SWITCHED SOCKET WITH NEON SP BLACK,19,219
2022-09-26,CRM#1428,NIPPON MAHAGEDARA-KUS,V15B-1G1W,1 GANG 1 WAY  BLACK,10,219
2022-09-26,CRM#1428,NIPPON MAHAGEDARA-KUS,V15B-4G1W,4 GANG 1 WAY BLACK,9,219
2022-09-26,CRM#1428,NIPPON MAHAGEDARA-KUS,V15B-SWCL,3W STAIRWAY BRUSHED COOL - BLACK,5,219
2022-09-26,CRM#1429,DIRECT SALE,V15B-2G2W,2 GANG  2 WAY  BLACK,7,327
2022-09-26,CRM#1429,DIRECT SALE,V15B-1G1W,1 GANG 1 WAY  BLACK,1,327
2022-09-26,CRM#1429,DIRECT SALE,V15B-1G2W,1 GANG  2 WAY  BLACK,3,327
2022-09-26,CRM#1429,DIRECT SALE,V15B-4G1W,4 GANG 1 WAY BLACK,3,327
2022-09-29,CRM#1430,METRO LIGHT SHOP - SHA,V15B-SWCL,3W STAIRWAY BRUSHED COOL - BLACK,60,26
2022-09-29,CRM#1430,METRO LIGHT SHOP - SHA,V15G-2G1W,2 GANG 1 WAY GOLD,1,26
2022-09-29,CRM#1430,METRO LIGHT SHOP - SHA,V15G-2G2W,2 GANG 2 WAY GOLD,1,26
2022-09-29,CRM#1430,METRO LIGHT SHOP - SHA,V15G-LDS,LIGHT DIMMER 500W GOLD,2,26
2022-09-29,CRM#1430,METRO LIGHT SHOP - SHA,V15G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD,4,26
2022-09-29,CRM#1430,METRO LIGHT SHOP - SHA,V15G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD,1,26
2022-09-29,CRM#1430,METRO LIGHT SHOP - SHA,V15G-1G1W,1 GANG 1 WAY GOLD,3,26
2022-09-29,CRM#1430,METRO LIGHT SHOP - SHA,V15B-FCS,FAN SPEED 500W BLACK,1,26
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-1G1W,1 GANG 1 WAY GOLD,8,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-2G1W,2 GANG 1 WAY GOLD,6,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-3G1W,3 GANG 1 WAY GOLD,1,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-2G2W,2 GANG 2 WAY GOLD,12,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-3G2W,3 GANG 2 WAY GOLD,17,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-4G2W,4 GANG 2 WAY GOLD,19,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-DBS,DOORBELL SWITCH GOLD,14,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-TPSC,TELEPHONE SOCKET GOLD,2,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-SLSC,SATELLITE SOCKET GOLD,1,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-FCS,FAN SPEED 500W GOLD,11,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-LDS,LIGHT DIMMER 500W GOLD,1,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-20NS,20A SWITCH WITH NEON GOLD,7,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD,1,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD,1,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-3G1W,3 GANG 1 WAY GOLD,1,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-1G2W,1 GANG 2 WAY GOLD,1,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-TPSC,TELEPHONE SOCKET GOLD,1,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15G-DNDS,"DOORBELL SWITCH ""DONT DISTURB"" - GOLD",1,182
2022-09-29,CRM#1431,DESHAN TRADE CENTER-KUS,V15W-SWSW,3W STAIRWAY WITH SENSER WARM - PEARL,1,182
2022-10-07,CRM#1432,DENTO ELECTRICALS-BUD,V15W-13USC,13A SWITCHED SOCKET WITH NEON +USB PEARL,24,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-1G1W,1 GANG 1 WAY GOLD,48,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-2G1W,2 GANG 1 WAY GOLD,46,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-3G1W,3 GANG 1 WAY GOLD,59,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-4G1W,4 GANG 1 WAY GOLD,35,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-1G2W,1 GANG 2 WAY GOLD,28,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-2G2W,2 GANG 2 WAY GOLD,35,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-3G2W,3 GANG 2 WAY GOLD,23,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-4G2W,4 GANG 2 WAY GOLD,34,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-13USC,13A SWITCHED SOCKET WITH NEON +USB GOLD,48,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-BP,BLANK PLATE GOLD,12,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-LDS,LIGHT DIMMER 500W GOLD,2,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-TPSC,TELEPHONE SOCKET GOLD,19,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-TVSC,TV SOCKET GOLD,8,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-SLSC,SATELLITE SOCKET GOLD,5,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-CSC,COMPUTER SOCKET GOLD,14,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-TPCPM,TELEPHONE + COMPUTER SOCKET - GOLD,8,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-HBS,HUMEN BODY SENSOR SWITCH GOLD,13,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-SWCL,3W STAIRWAY BRUSHED COOL - GOLD,9,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-SWWL,3W STAIRWAY BRUSHED WARM - GOLD,17,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-SWSW,3W STAIRWAY WITH SENSER WARM - GOLD,10,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-FCS,FAN SPEED 500W PEARL,21,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-SLSC,SATELLITE SOCKET PEARL,16,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-SLSC,SATELLITE SOCKET PEARL,8,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-TPCPM,TELEPHONE + COMPUTER SOCKET - GOLD,3,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-13NSC,13A SWITCHED SOCKET WITH NEON SP GOLD,1,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15G-1G2W,1 GANG 2 WAY GOLD,1,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-4G1W,4 GANG 1 WAY PEARL,1,70
2022-10-13,CRM#1433,DENTO ELECTRICALS-BUD,V15W-2G2W,2 GANG 2 WAY PEARL,1,70
2022-10-13,CRM#1434,DIRECT SALE,V15B-13NSC,13A SWITCHED SOCKET WITH NEON SP BLACK,3,327
,,,,,,